hangul,kanji,font0_slot_index,font0_page,font0_u0,font0_v0,font1_slot_index,font1_page,font1_u0,font1_v0,code_hex_font0,code_hex_font1
땋,豆,2075,1,0,0.395701,1186,11,0.725452,0.241817,0x00E8B186,0x00E8B186
때,還,429,0,0.417684,0.571568,221,4,0.322423,0.56424,0x00E98284,0x00E98284
땍,踏,2076,1,0.021983,0.395701,1187,11,0.806058,0.241817,0x00E8B88F,0x00E8B88F
땐,逃,2077,1,0.043967,0.395701,1188,11,0.886663,0.241817,0x00E98083,0x00E98083
땔,透,2078,1,0.06595,0.395701,1189,11,0,0.322423,0x00E9808F,0x00E9808F
땜,陶,2080,1,0.109917,0.395701,1190,11,0.080606,0.322423,0x00E999B6,0x00E999B6
땝,頭,2081,1,0.1319,0.395701,1191,11,0.161212,0.322423,0x00E9A0AD,0x00E9A0AD
땟,闘,2083,1,0.175867,0.395701,1192,11,0.241817,0.322423,0x00E99798,0x00E99798
땠,働,2084,1,0.197851,0.395701,1193,11,0.322423,0.322423,0x00E5838D,0x00E5838D
땡,就,1225,0,0.109917,0.967269,696,7,0.886663,0.806058,0x00E5B0B1,0x00E5B0B1
떠,告,927,0,0.483635,0.813385,515,6,0.806058,0.56424,0x00E5918A,0x00E5918A
떡,動,2085,1,0.219834,0.395701,1194,11,0.403029,0.322423,0x00E58B95,0x00E58B95
떤,若,1196,0,0.461651,0.945286,673,7,0,0.725452,0x00E88BA5,0x00E88BA5
떨,交,835,0,0.439668,0.769419,469,6,0,0.322423,0x00E4BAA4,0x00E4BAA4
떪,同,2086,1,0.241817,0.395701,1195,11,0.483635,0.322423,0x00E5908C,0x00E5908C
떫,堂,2087,1,0.263801,0.395701,1196,11,0.56424,0.322423,0x00E5A082,0x00E5A082
떰,導,2088,1,0.285784,0.395701,1197,11,0.644846,0.322423,0x00E5B08E,0x00E5B08E
떱,憧,2089,1,0.307767,0.395701,1198,11,0.725452,0.322423,0x00E686A7,0x00E686A7
떳,洞,2091,1,0.351734,0.395701,1199,11,0.806058,0.322423,0x00E6B49E,0x00E6B49E
떴,瞳,2092,1,0.373718,0.395701,1200,11,0.886663,0.322423,0x00E79EB3,0x00E79EB3
떵,胴,2094,1,0.417684,0.395701,1201,11,0,0.403029,0x00E883B4,0x00E883B4
떻,諸,1307,1,0.923302,0,740,8,0.56424,0.161212,0x00E8ABB8,0x00E8ABB8
떼,譲,1406,1,0.1319,0.06595,796,8,0.241817,0.56424,0x00E8ADB2,0x00E8ADB2
떽,道,2096,1,0.461651,0.395701,1202,11,0.080606,0.403029,0x00E98193,0x00E98193
